total time = 0.004954
size 30 iterations 100
total time = 0.005416
size 40 iterations 100
total time = 0.006121
size 50 iterations 100
total time = 0.007340
size 60 iterations 100
total time = 0.014063
size 100 iterations 100
total time = 0.033961
size 150 iterations 100
total time = 0.071601
size 200 iterations 100
total time = 0.132564
size 250 iterations 100
total time = 0.225168
size 300 iterations 100
total time = 0.538429
size 400 iterations 100
total time = 1.016629
size 500 iterations 100
