total time = 0.000039 
size 5 iterations 100
total time = 0.000191 
size 10 iterations 100
total time = 0.000537 
size 15 iterations 100
total time = 0.001148 
size 20 iterations 100
total time = 0.003936 
size 30 iterations 100
total time = 0.010311 
size 40 iterations 100
total time = 0.019242 
size 50 iterations 100
total time = 0.032020 
size 60 iterations 100
total time = 0.000038 
size 5 iterations 100
total time = 0.000189 
size 10 iterations 100
total time = 0.000535 
size 15 iterations 100
total time = 0.001145 
size 20 iterations 100
total time = 0.003947 
size 30 iterations 100
total time = 0.010339 
size 40 iterations 100
total time = 0.018729 
size 50 iterations 100
total time = 0.032416 
size 60 iterations 100
